CreditScore,Geography,Gender,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
795.0,Germany,Female,33.0,9.0,130862.43,1.0,1.0,114935.21,0.0
687.0,France,Male,38.0,9.0,122570.87,1.0,1.0,35608.88,0.0
686.0,France,Male,25.0,1.0,0.0,0.0,1.0,16459.37,0.0
789.0,Germany,Male,39.0,7.0,124828.46,1.0,1.0,124411.08,0.0
589.0,Germany,Female,50.0,5.0,144895.05,1.0,1.0,34941.23,0.0
461.0,Germany,Female,34.0,5.0,63663.93,0.0,1.0,167784.28,0.0
637.0,France,Male,40.0,2.0,133463.1,0.0,1.0,93165.34,0.0
584.0,Spain,Female,48.0,2.0,213146.2,1.0,0.0,75161.25,1.0
579.0,Spain,Female,35.0,1.0,129490.36,0.0,1.0,8590.83,1.0
756.0,Germany,Male,44.0,10.0,137452.09,1.0,0.0,189543.9,0.0
663.0,France,Male,34.0,7.0,0.0,1.0,1.0,180427.24,0.0
682.0,France,Female,43.0,5.0,125851.93,1.0,1.0,193318.33,0.0
793.0,Spain,Male,52.0,2.0,0.0,1.0,0.0,159123.82,1.0
691.0,France,Female,31.0,5.0,40915.55,1.0,0.0,126213.84,1.0
485.0,Spain,Female,21.0,5.0,113157.22,1.0,1.0,54141.5,0.0
635.0,Spain,Female,29.0,8.0,138296.94,1.0,0.0,141075.51,0.0
650.0,France,Male,37.0,5.0,106967.18,0.0,0.0,24495.03,0.0
735.0,France,Male,44.0,9.0,120681.63,1.0,0.0,74836.34,0.0
416.0,France,Male,32.0,0.0,0.0,0.0,1.0,878.87,0.0
754.0,Spain,Female,32.0,7.0,0.0,1.0,0.0,89520.75,0.0
535.0,France,Female,48.0,9.0,0.0,1.0,0.0,149892.79,1.0
716.0,Spain,Male,42.0,8.0,0.0,1.0,0.0,180800.42,0.0
539.0,France,Male,37.0,2.0,127609.59,1.0,0.0,98646.22,0.0
614.0,France,Female,43.0,6.0,0.0,1.0,1.0,109041.53,0.0
706.0,Spain,Male,57.0,7.0,0.0,1.0,0.0,17941.16,1.0
758.0,France,Female,33.0,7.0,0.0,0.0,0.0,82996.47,0.0
586.0,Spain,Female,28.0,2.0,0.0,1.0,1.0,92067.35,0.0
646.0,France,Female,73.0,6.0,97259.25,0.0,1.0,104719.66,0.0
631.0,Germany,Female,33.0,4.0,123246.7,0.0,0.0,112687.57,0.0
717.0,Spain,Female,22.0,6.0,101060.25,0.0,1.0,84699.56,0.0
684.0,France,Male,30.0,2.0,0.0,1.0,0.0,83473.82,0.0
800.0,France,Female,49.0,7.0,108007.36,0.0,0.0,47125.11,0.0
721.0,Spain,Female,36.0,2.0,0.0,1.0,1.0,106977.8,0.0
683.0,Spain,Male,29.0,0.0,133702.89,1.0,0.0,55582.54,1.0
660.0,Germany,Male,31.0,9.0,125189.75,1.0,1.0,139874.43,0.0
704.0,Germany,Female,24.0,7.0,113034.22,1.0,0.0,162503.48,1.0
615.0,Spain,Female,41.0,9.0,109013.23,1.0,0.0,196499.96,0.0
667.0,Spain,Female,39.0,2.0,0.0,1.0,0.0,40721.24,1.0
682.0,Germany,Male,24.0,9.0,57929.81,0.0,0.0,53134.3,0.0
484.0,France,Female,29.0,4.0,130114.39,1.0,0.0,164017.89,0.0
628.0,Germany,Male,27.0,5.0,95826.49,1.0,0.0,155996.96,0.0
480.0,Germany,Male,44.0,10.0,129608.57,1.0,0.0,5472.7,1.0
578.0,France,Male,30.0,4.0,169462.09,1.0,0.0,112187.11,0.0
512.0,France,Male,40.0,5.0,0.0,1.0,1.0,146457.83,0.0
484.0,Spain,Female,35.0,7.0,133868.21,1.0,1.0,27286.1,0.0
510.0,France,Female,30.0,0.0,0.0,1.0,1.0,130553.47,0.0
606.0,Germany,Male,36.0,5.0,190479.48,0.0,0.0,179351.89,0.0
597.0,Spain,Female,40.0,8.0,101993.12,0.0,1.0,94774.12,0.0
754.0,Germany,Female,55.0,3.0,161608.81,1.0,0.0,8080.85,1.0
850.0,Spain,Female,45.0,2.0,122311.21,1.0,1.0,19482.5,0.0
510.0,France,Male,65.0,2.0,0.0,1.0,1.0,48071.61,0.0
778.0,Germany,Female,45.0,1.0,162150.42,1.0,0.0,174531.27,0.0
636.0,France,Male,42.0,2.0,0.0,1.0,1.0,55470.78,0.0
804.0,France,Female,50.0,4.0,0.0,1.0,1.0,8546.87,1.0
514.0,France,Male,32.0,8.0,0.0,1.0,0.0,95857.18,0.0
730.0,France,Female,39.0,1.0,99010.67,1.0,0.0,194945.8,0.0
525.0,Spain,Female,37.0,0.0,0.0,0.0,1.0,131521.72,0.0
616.0,Spain,Male,30.0,5.0,0.0,0.0,1.0,196108.51,0.0
687.0,Germany,Female,34.0,7.0,111388.18,1.0,0.0,148564.76,0.0
715.0,France,Female,41.0,8.0,56214.85,0.0,0.0,92982.61,1.0
512.0,France,Female,36.0,3.0,84327.77,1.0,0.0,17675.36,0.0
479.0,France,Male,40.0,1.0,0.0,0.0,0.0,114996.43,0.0
601.0,France,Male,32.0,8.0,93012.89,1.0,0.0,86957.42,0.0
580.0,Spain,Male,29.0,9.0,61710.44,1.0,0.0,128077.8,0.0
807.0,France,Male,35.0,3.0,174790.15,1.0,1.0,600.36,0.0
616.0,Spain,Female,32.0,6.0,0.0,1.0,1.0,43001.46,0.0
721.0,Germany,Male,37.0,3.0,107720.64,1.0,1.0,158591.12,0.0
501.0,France,Male,57.0,10.0,0.0,1.0,1.0,47847.19,0.0
521.0,France,Male,35.0,6.0,96423.84,1.0,0.0,10488.44,0.0
850.0,Spain,Male,30.0,2.0,141040.01,1.0,1.0,5978.2,0.0
759.0,France,Male,42.0,4.0,105420.18,0.0,1.0,121409.06,0.0
516.0,Spain,Male,50.0,5.0,0.0,0.0,1.0,146145.93,1.0
711.0,France,Female,38.0,2.0,129022.06,1.0,1.0,14374.86,1.0
512.0,Spain,Male,33.0,3.0,176666.62,1.0,0.0,94670.77,0.0
550.0,France,Male,37.0,3.0,0.0,1.0,1.0,179670.31,0.0
608.0,Spain,Female,41.0,3.0,89763.84,0.0,0.0,199304.74,1.0
618.0,France,Male,34.0,5.0,134954.53,1.0,1.0,151954.39,0.0
643.0,France,Male,45.0,5.0,0.0,1.0,0.0,142513.5,1.0
671.0,France,Male,45.0,2.0,106376.85,0.0,1.0,158264.62,0.0
689.0,Germany,Male,33.0,2.0,161814.64,1.0,0.0,169381.9,0.0
603.0,France,Male,31.0,8.0,0.0,1.0,1.0,169915.02,0.0
620.0,France,Female,41.0,9.0,0.0,0.0,0.0,88852.47,0.0
676.0,France,Female,34.0,1.0,63095.01,1.0,1.0,40645.81,0.0
572.0,Germany,Male,26.0,4.0,118287.01,0.0,0.0,60427.3,0.0
668.0,Germany,Male,47.0,7.0,106854.21,0.0,1.0,157959.02,1.0
695.0,France,Male,46.0,7.0,49512.55,1.0,0.0,133007.34,0.0
730.0,Spain,Female,33.0,9.0,0.0,0.0,0.0,176576.62,0.0
807.0,France,Male,43.0,1.0,105799.32,1.0,0.0,34888.04,1.0
592.0,France,Male,54.0,8.0,0.0,1.0,1.0,28737.71,1.0
726.0,France,Female,31.0,9.0,114722.05,1.0,1.0,98178.57,0.0
514.0,Spain,Male,30.0,7.0,0.0,0.0,1.0,125010.24,0.0
567.0,France,Male,42.0,2.0,0.0,1.0,1.0,167984.61,0.0
850.0,France,Male,33.0,10.0,0.0,1.0,0.0,4861.72,1.0
671.0,Germany,Male,45.0,6.0,99564.22,1.0,1.0,108872.45,1.0
670.0,France,Male,37.0,4.0,170557.91,1.0,0.0,198252.88,0.0
694.0,France,Female,30.0,9.0,0.0,1.0,1.0,26960.31,0.0
547.0,Germany,Female,39.0,6.0,74596.15,1.0,1.0,85746.52,1.0
751.0,Germany,Male,50.0,2.0,96888.39,1.0,0.0,77206.25,1.0
594.0,Germany,Female,29.0,3.0,130830.22,1.0,0.0,61048.53,0.0
673.0,France,Male,72.0,1.0,0.0,0.0,1.0,111981.19,0.0
610.0,France,Male,40.0,0.0,0.0,1.0,0.0,62232.6,0.0
512.0,France,Female,37.0,1.0,0.0,0.0,1.0,156105.03,0.0
767.0,Germany,Male,20.0,3.0,119714.25,0.0,1.0,150135.38,0.0
585.0,France,Female,67.0,5.0,113978.97,0.0,1.0,93146.11,0.0
763.0,Germany,Male,42.0,6.0,100160.75,1.0,0.0,33462.94,1.0
712.0,France,Female,29.0,2.0,0.0,1.0,1.0,144375.0,0.0
539.0,Germany,Female,43.0,3.0,116220.5,1.0,0.0,55803.96,1.0
668.0,France,Female,46.0,2.0,0.0,1.0,0.0,89048.46,1.0
703.0,France,Male,28.0,2.0,81173.83,0.0,1.0,162812.16,0.0
662.0,Spain,Male,38.0,4.0,0.0,1.0,0.0,136259.65,0.0
725.0,Germany,Female,39.0,5.0,116803.8,1.0,0.0,124052.97,0.0
703.0,France,Male,37.0,8.0,105961.68,0.0,1.0,74158.8,0.0
659.0,Germany,Male,67.0,6.0,117411.6,1.0,1.0,45071.09,1.0
523.0,Spain,Male,34.0,7.0,0.0,1.0,0.0,62030.06,0.0
635.0,France,Female,40.0,10.0,123497.58,1.0,0.0,131953.23,1.0
772.0,Germany,Male,26.0,7.0,152400.51,1.0,0.0,79414.0,0.0
545.0,France,Female,26.0,1.0,0.0,1.0,1.0,199638.56,0.0
634.0,Germany,Male,24.0,8.0,103097.85,1.0,1.0,157577.29,0.0
739.0,Germany,Male,54.0,8.0,126418.14,1.0,0.0,134420.75,1.0
771.0,Germany,Female,36.0,5.0,77846.9,0.0,0.0,99805.99,0.0
587.0,Spain,Female,34.0,1.0,0.0,1.0,1.0,97932.68,0.0
681.0,France,Female,79.0,0.0,0.0,0.0,1.0,170968.99,0.0
544.0,Germany,Male,37.0,2.0,79731.91,1.0,1.0,57558.95,0.0
696.0,Spain,Male,28.0,8.0,0.0,0.0,0.0,176713.47,0.0
766.0,Spain,Male,41.0,0.0,0.0,0.0,1.0,34283.23,0.0
727.0,France,Male,34.0,10.0,0.0,1.0,1.0,198637.34,0.0
671.0,Germany,Female,34.0,6.0,37266.67,0.0,0.0,156917.12,0.0
693.0,France,Female,30.0,6.0,127992.25,1.0,1.0,50457.2,0.0
850.0,Germany,Male,38.0,3.0,54901.01,1.0,1.0,140075.55,0.0
732.0,Germany,Male,42.0,9.0,108748.08,1.0,1.0,65323.11,0.0
726.0,Spain,Female,48.0,6.0,99906.19,1.0,0.0,64323.24,0.0
557.0,France,Female,32.0,6.0,184686.41,1.0,0.0,14956.44,0.0
682.0,France,Female,26.0,0.0,110654.02,0.0,1.0,111879.21,0.0
738.0,Spain,Male,31.0,9.0,79019.8,1.0,1.0,18606.23,0.0
531.0,Spain,Female,36.0,9.0,99240.51,1.0,0.0,123137.01,0.0
498.0,France,Male,34.0,2.0,0.0,1.0,1.0,148528.24,0.0
651.0,France,Male,36.0,7.0,0.0,1.0,0.0,13898.31,0.0
549.0,Spain,Female,39.0,7.0,0.0,0.0,0.0,81259.25,1.0
791.0,Germany,Female,35.0,7.0,52436.2,1.0,0.0,161051.75,0.0
650.0,Spain,Male,41.0,9.0,0.0,0.0,1.0,191599.67,0.0
733.0,Germany,Male,34.0,3.0,100337.96,1.0,0.0,48559.19,1.0
811.0,Germany,Female,34.0,1.0,149297.19,1.0,1.0,186339.74,0.0
707.0,France,Male,30.0,8.0,0.0,1.0,0.0,33159.37,0.0
712.0,Germany,Male,28.0,4.0,145605.44,0.0,1.0,93883.53,0.0
706.0,Spain,Female,37.0,7.0,0.0,1.0,1.0,110899.3,0.0
756.0,France,Male,62.0,3.0,0.0,1.0,1.0,11199.04,1.0
777.0,France,Female,53.0,10.0,0.0,1.0,0.0,189992.97,0.0
646.0,France,Male,35.0,6.0,84026.86,0.0,1.0,164255.69,0.0
714.0,France,Male,46.0,1.0,0.0,1.0,0.0,152167.79,1.0
782.0,France,Male,39.0,8.0,0.0,1.0,1.0,33949.67,0.0
775.0,Spain,Male,29.0,10.0,0.0,1.0,1.0,68143.93,0.0
479.0,Germany,Male,35.0,4.0,138718.92,1.0,1.0,47251.79,1.0
807.0,France,Male,42.0,7.0,118274.71,1.0,1.0,25885.72,0.0
799.0,France,Female,22.0,8.0,174185.98,0.0,1.0,192633.85,0.0
675.0,France,Male,40.0,7.0,113208.86,1.0,0.0,34577.36,0.0
602.0,Spain,Male,29.0,5.0,103907.28,1.0,0.0,161229.84,0.0
475.0,France,Female,32.0,8.0,119023.28,1.0,0.0,100816.29,0.0
744.0,Spain,Female,26.0,5.0,166297.89,1.0,1.0,181694.44,0.0
588.0,Spain,Male,34.0,10.0,0.0,1.0,0.0,79078.91,0.0
703.0,Germany,Male,42.0,9.0,63227.0,0.0,1.0,137316.32,0.0
747.0,Spain,Female,41.0,5.0,94521.17,1.0,0.0,194926.86,0.0
583.0,France,Male,27.0,7.0,0.0,1.0,0.0,51285.49,0.0
750.0,Spain,Female,34.0,9.0,112822.26,0.0,0.0,150401.53,1.0
681.0,France,Male,38.0,3.0,0.0,1.0,1.0,112491.96,0.0
773.0,France,Male,25.0,2.0,135903.33,1.0,0.0,73656.38,0.0
714.0,France,Female,31.0,4.0,125169.26,1.0,1.0,106636.89,0.0
687.0,Spain,Female,44.0,7.0,0.0,1.0,0.0,155853.52,1.0
511.0,France,Male,58.0,0.0,149117.31,1.0,1.0,162599.51,0.0
627.0,France,Male,33.0,5.0,0.0,1.0,1.0,103737.82,0.0
694.0,France,Female,31.0,10.0,0.0,1.0,0.0,160990.27,0.0
616.0,Spain,Female,36.0,6.0,132311.71,0.0,0.0,15462.84,0.0
687.0,France,Male,35.0,8.0,0.0,1.0,0.0,10334.05,0.0
712.0,France,Female,33.0,6.0,0.0,1.0,1.0,190686.16,0.0
553.0,France,Male,33.0,4.0,118082.89,0.0,0.0,94440.45,0.0
667.0,France,Male,31.0,1.0,119266.69,1.0,1.0,28257.63,0.0
731.0,France,Male,43.0,2.0,0.0,1.0,1.0,170034.95,1.0
629.0,Germany,Male,35.0,7.0,156847.29,1.0,0.0,31824.29,0.0
614.0,France,Male,50.0,4.0,137104.47,1.0,0.0,127166.49,1.0
438.0,Germany,Male,31.0,8.0,78398.69,1.0,0.0,44937.01,0.0
652.0,France,Female,80.0,4.0,0.0,1.0,1.0,188603.07,0.0
729.0,Germany,Male,30.0,6.0,63669.42,1.0,0.0,145111.37,0.0
642.0,France,Male,38.0,3.0,0.0,0.0,0.0,171463.83,0.0
806.0,Germany,Female,59.0,0.0,135296.33,1.0,0.0,182822.5,0.0
744.0,Spain,Male,36.0,2.0,153804.44,1.0,1.0,87213.33,0.0
474.0,Spain,Male,37.0,3.0,0.0,0.0,0.0,57175.32,0.0
559.0,France,Male,49.0,2.0,147069.78,1.0,0.0,120540.83,1.0
706.0,Spain,Male,42.0,9.0,0.0,1.0,1.0,28714.34,0.0
628.0,Spain,Female,22.0,3.0,0.0,1.0,0.0,85426.28,0.0
429.0,France,Male,24.0,4.0,95741.75,1.0,0.0,46170.75,0.0
525.0,Spain,Female,57.0,2.0,145965.33,1.0,1.0,64448.36,0.0
680.0,France,Female,30.0,8.0,141441.75,1.0,1.0,16278.97,0.0
749.0,France,Male,40.0,1.0,139290.41,1.0,0.0,182855.42,1.0
763.0,France,Female,31.0,4.0,0.0,0.0,0.0,50404.72,0.0
734.0,France,Male,30.0,3.0,0.0,1.0,0.0,107640.25,0.0
716.0,France,Male,35.0,4.0,144428.87,1.0,0.0,134132.65,0.0
594.0,France,Male,35.0,2.0,0.0,1.0,0.0,103480.69,0.0
644.0,France,Female,46.0,9.0,95441.27,1.0,0.0,108761.05,1.0
671.0,Germany,Male,35.0,1.0,144848.74,1.0,1.0,179012.3,0.0
664.0,Germany,Male,26.0,7.0,116244.14,1.0,1.0,95145.14,0.0
656.0,France,Male,50.0,7.0,0.0,0.0,1.0,72143.44,0.0
667.0,Spain,Female,40.0,1.0,146502.07,1.0,0.0,19162.89,0.0
663.0,Germany,Male,44.0,2.0,117028.6,0.0,1.0,144680.18,0.0
584.0,Germany,Female,30.0,8.0,112013.81,1.0,0.0,177772.03,1.0
626.0,Spain,Female,37.0,6.0,108269.37,1.0,0.0,5597.94,0.0
485.0,France,Male,29.0,7.0,182123.79,1.0,0.0,116828.51,1.0
659.0,Germany,Female,32.0,3.0,150923.74,0.0,1.0,174652.51,0.0
649.0,France,Male,33.0,2.0,0.0,1.0,0.0,2010.98,0.0
805.0,Spain,Female,39.0,5.0,165272.13,1.0,0.0,14109.85,1.0
716.0,Germany,Female,39.0,10.0,115301.31,1.0,0.0,43527.4,1.0
642.0,Germany,Female,40.0,6.0,129502.49,0.0,1.0,86099.23,1.0
659.0,France,Male,31.0,4.0,118342.26,0.0,0.0,161574.19,0.0
545.0,Spain,Female,47.0,5.0,0.0,1.0,1.0,38970.14,0.0
543.0,France,Male,22.0,8.0,0.0,0.0,0.0,127587.22,0.0
718.0,France,Female,25.0,7.0,0.0,1.0,0.0,30380.12,0.0
840.0,France,Female,43.0,7.0,0.0,1.0,0.0,90908.95,0.0
630.0,Germany,Female,34.0,9.0,106937.05,1.0,0.0,138275.01,0.0
643.0,Germany,Male,59.0,3.0,170331.37,1.0,1.0,32171.79,0.0
654.0,Germany,Female,32.0,1.0,114510.85,1.0,1.0,126143.23,0.0
582.0,France,Male,39.0,5.0,0.0,1.0,1.0,129892.93,0.0
